epoch,train_loss_mse,train_loss_kl,train_loss_ce,train_loss_total,val_mse,val_loss_kl,val_loss_ce,val_total_loss,val_top1,val_top5
1,1.785948,2.227517,0.000000,2.008699,1.626917,1.708158,0.000000,1.797733,0.514774,0.837556
2,1.575370,1.596720,0.000000,1.735042,1.542380,1.526250,0.000000,1.695005,0.538350,0.856507
3,1.515088,1.451480,0.000000,1.660236,1.502946,1.407618,0.000000,1.643708,0.551329,0.868174
4,1.480175,1.367928,0.000000,1.616968,1.469191,1.354504,0.000000,1.604642,0.561270,0.873214
5,1.454093,1.308020,0.000000,1.584895,1.443904,1.311236,0.000000,1.575028,0.564791,0.877632
6,1.434200,1.263759,0.000000,1.560576,1.427215,1.320796,0.000000,1.559295,0.568416,0.878184
7,1.418040,1.222703,0.000000,1.540310,1.410119,1.257742,0.000000,1.535893,0.573973,0.884156
8,1.404312,1.192086,0.000000,1.523521,1.403237,1.228779,0.000000,1.526114,0.576079,0.888367
9,1.392208,1.159868,0.000000,1.508195,1.386692,1.194866,0.000000,1.506178,0.582913,0.891025
10,1.381775,1.136230,0.000000,1.495398,1.379043,1.188762,0.000000,1.497919,0.584294,0.891647
11,1.372359,1.117008,0.000000,1.484060,1.371583,1.191791,0.000000,1.490762,0.584674,0.892820
12,1.364354,1.093218,0.000000,1.473676,1.363673,1.158112,0.000000,1.479484,0.587884,0.895098
13,1.357044,1.073271,0.000000,1.464371,1.357023,1.161624,0.000000,1.473186,0.587056,0.895167
14,1.350341,1.055972,0.000000,1.455939,1.349694,1.156524,0.000000,1.465346,0.586745,0.894270
15,1.344228,1.040209,0.000000,1.448249,1.347133,1.145990,0.000000,1.461732,0.591577,0.894891
16,1.338708,1.025472,0.000000,1.441255,1.341046,1.121745,0.000000,1.453220,0.595547,0.898757
17,1.333338,1.013148,0.000000,1.434652,1.335710,1.131823,0.000000,1.448892,0.592682,0.897722
18,1.328893,0.999205,0.000000,1.428814,1.330191,1.109160,0.000000,1.441107,0.595789,0.899275
19,1.324327,0.987824,0.000000,1.423110,1.325502,1.098146,0.000000,1.435317,0.597515,0.901553
20,1.319853,0.977146,0.000000,1.417568,1.320685,1.087739,0.000000,1.429459,0.598309,0.901208
21,1.315773,0.967837,0.000000,1.412557,1.315303,1.104656,0.000000,1.425769,0.596341,0.901001
22,1.312229,0.952903,0.000000,1.407519,1.313313,1.090132,0.000000,1.422326,0.597722,0.899275
23,1.308391,0.945524,0.000000,1.402943,1.312215,1.061823,0.000000,1.418398,0.601968,0.904522
24,1.305324,0.937098,0.000000,1.399034,1.305611,1.070876,0.000000,1.412698,0.604418,0.903763
25,1.301917,0.926632,0.000000,1.394580,1.302053,1.068060,0.000000,1.408859,0.602037,0.903590
26,1.299231,0.918771,0.000000,1.391108,1.302394,1.066890,0.000000,1.409083,0.603383,0.904660
27,1.296213,0.909226,0.000000,1.387136,1.298111,1.061882,0.000000,1.404299,0.603659,0.903970
28,1.293492,0.902268,0.000000,1.383719,1.295774,1.075791,0.000000,1.403353,0.601450,0.903452
29,1.290939,0.893446,0.000000,1.380284,1.292399,1.045937,0.000000,1.396993,0.605212,0.907352
30,1.288256,0.888098,0.000000,1.377066,1.292347,1.045052,0.000000,1.396852,0.605454,0.904315
31,1.286147,0.879767,0.000000,1.374123,1.288398,1.035840,0.000000,1.391982,0.607283,0.908595
32,1.283610,0.873276,0.000000,1.370937,1.288148,1.038866,0.000000,1.392035,0.609631,0.906662
