epoch,train_loss,val_loss,val_top1,val_top5,lr,epoch_time_sec
1,0.952358,0.955974,0.000000,0.000000,0.00010000,40.01
1,0.295389,0.186163,0.578357,0.908008,0.00019995,32.90
2,0.163079,0.141480,0.701588,0.965999,0.00019989,30.98
3,0.136983,0.124626,0.745599,0.980324,0.00019980,30.77
4,0.122027,0.113845,0.768036,0.984294,0.00019969,30.78
5,0.117730,0.117250,0.778391,0.985330,0.00019956,30.78
6,0.107582,0.107057,0.794443,0.989817,0.00019940,30.86
7,0.106272,0.101494,0.804280,0.990507,0.00019922,29.47
8,0.102659,0.095306,0.808423,0.990680,0.00019901,29.72
9,0.094650,0.094458,0.815671,0.992233,0.00019877,29.59
10,0.094784,0.088824,0.823956,0.992751,0.00019852,30.85
11,0.090663,0.094218,0.824301,0.993441,0.00019824,31.18
12,0.089230,0.087268,0.826545,0.993614,0.00019793,30.78
13,0.087449,0.088017,0.828271,0.993959,0.00019760,31.26
14,0.086400,0.082672,0.825854,0.992924,0.00019725,30.76
15,0.083553,0.084566,0.830860,0.994304,0.00019687,31.07
16,0.081731,0.077555,0.838281,0.994132,0.00019647,31.07
17,0.081913,0.082135,0.832413,0.994477,0.00019605,29.69
18,0.078516,0.080253,0.840525,0.995858,0.00019560,29.50
19,0.079667,0.074785,0.843804,0.994995,0.00019513,30.88
20,0.077172,0.082270,0.843286,0.995685,0.00019464,31.12
21,0.078196,0.079966,0.845875,0.995685,0.00019412,30.85
22,0.076513,0.071371,0.845012,0.995685,0.00019358,30.82
23,0.076184,0.072802,0.848119,0.995513,0.00019301,30.74
24,0.073147,0.070954,0.853124,0.996893,0.00019243,30.58
25,0.073649,0.082086,0.843286,0.995858,0.00019182,30.90
26,0.072227,0.073555,0.851743,0.996203,0.00019118,30.42
27,0.071352,0.068519,0.854850,0.996721,0.00019053,29.55
28,0.071179,0.083053,0.853814,0.997584,0.00018985,30.44
29,0.070113,0.070398,0.851398,0.996721,0.00018916,31.75
30,0.068849,0.078032,0.856748,0.997066,0.00018843,31.23
31,0.069850,0.074393,0.860373,0.997066,0.00018769,30.88
32,0.067828,0.068323,0.863825,0.996893,0.00018693,31.39
33,0.066522,0.067213,0.859165,0.997756,0.00018614,30.86
34,0.067423,0.066988,0.864860,0.997411,0.00018534,31.30
35,0.065810,0.064927,0.856748,0.996203,0.00018451,30.31
36,0.064439,0.063656,0.866759,0.997756,0.00018366,29.81
37,0.066281,0.066152,0.861754,0.996893,0.00018279,29.47
38,0.065271,0.064864,0.865896,0.997066,0.00018191,31.02
39,0.064128,0.066136,0.863825,0.997584,0.00018100,30.87
40,0.064130,0.061216,0.866586,0.997411,0.00018007,30.75
41,0.063229,0.068955,0.867276,0.997756,0.00017912,30.73
42,0.063318,0.066830,0.868830,0.998101,0.00017815,30.76
43,0.063414,0.061088,0.864688,0.997929,0.00017717,30.79
44,0.061940,0.061083,0.874008,0.998447,0.00017616,29.57
45,0.061974,0.066912,0.859165,0.997756,0.00017514,29.53
46,0.061770,0.062743,0.869002,0.997756,0.00017409,29.47
47,0.061452,0.059847,0.877114,0.997584,0.00017303,30.72
48,0.059786,0.061403,0.866759,0.997756,0.00017195,30.81
49,0.059873,0.063051,0.872799,0.998274,0.00017086,30.83
50,0.060010,0.061011,0.863134,0.998274,0.00016974,30.79
51,0.059172,0.065774,0.872282,0.998274,0.00016861,30.80
52,0.058572,0.057546,0.874008,0.998447,0.00016746,30.79
53,0.060725,0.063283,0.874871,0.998447,0.00016630,30.74
54,0.057762,0.058782,0.875216,0.998619,0.00016512,29.52
55,0.058851,0.059056,0.874353,0.997929,0.00016392,29.48
56,0.058608,0.059124,0.873317,0.997239,0.00016271,30.78
57,0.058622,0.059398,0.879013,0.998274,0.00016148,30.73
58,0.058163,0.056710,0.877805,0.998619,0.00016024,30.75
59,0.056950,0.058872,0.876596,0.998792,0.00015898,30.89
60,0.056952,0.066626,0.872454,0.998274,0.00015771,30.74
61,0.058641,0.058666,0.877632,0.998619,0.00015643,31.70
62,0.056640,0.057810,0.881429,0.998964,0.00015513,30.85
63,0.055653,0.054170,0.882810,0.998274,0.00015381,29.51
64,0.055999,0.060321,0.877805,0.998447,0.00015249,29.53
65,0.055469,0.055169,0.880911,0.998101,0.00015115,29.51
66,0.055768,0.057238,0.880394,0.998101,0.00014980,30.79
67,0.056038,0.054861,0.878150,0.998619,0.00014843,30.76
68,0.054654,0.053526,0.879531,0.997929,0.00014706,30.76
69,0.055249,0.054847,0.878495,0.998447,0.00014567,30.78
70,0.054609,0.054609,0.884708,0.998619,0.00014427,30.74
71,0.054245,0.057116,0.878840,0.998619,0.00014287,30.77
72,0.053157,0.055978,0.879013,0.998619,0.00014145,29.58
73,0.054094,0.055110,0.880394,0.998792,0.00014002,29.47
74,0.053644,0.060590,0.883845,0.998274,0.00013858,29.47
75,0.053305,0.057369,0.878668,0.998964,0.00013713,31.52
76,0.054523,0.062744,0.878150,0.998274,0.00013567,31.24
77,0.053037,0.052561,0.883845,0.998964,0.00013420,30.86
78,0.052490,0.052689,0.886779,0.998447,0.00013273,30.78
79,0.053031,0.061508,0.883500,0.998447,0.00013125,30.71
80,0.052117,0.051737,0.882465,0.998619,0.00012976,30.73
81,0.052047,0.053092,0.885054,0.998447,0.00012826,30.69
82,0.051650,0.052295,0.887125,0.998792,0.00012676,29.53
83,0.051892,0.053804,0.886952,0.998619,0.00012524,29.51
84,0.051602,0.055793,0.887642,0.998792,0.00012373,30.66
85,0.051864,0.052950,0.882465,0.998274,0.00012221,30.81
86,0.051936,0.053453,0.888678,0.998964,0.00012068,30.94
87,0.050693,0.053053,0.888160,0.998792,0.00011914,30.87
88,0.051570,0.053345,0.880394,0.999137,0.00011761,30.78
89,0.050879,0.051211,0.887642,0.998619,0.00011607,31.18
90,0.050097,0.053344,0.884708,0.998447,0.00011452,30.74
91,0.049844,0.052777,0.885054,0.998792,0.00011297,29.52
92,0.050232,0.051554,0.886952,0.998619,0.00011142,29.50
93,0.051077,0.051661,0.889886,0.998619,0.00010986,29.31
94,0.049378,0.051231,0.888505,0.998792,0.00010831,30.79
95,0.049693,0.052267,0.887297,0.998619,0.00010675,30.77
96,0.048793,0.051443,0.890922,0.998619,0.00010519,31.07
97,0.049815,0.051014,0.888505,0.998792,0.00010363,30.81
98,0.048988,0.051570,0.889023,0.998619,0.00010206,30.80
99,0.049159,0.050952,0.888333,0.998447,0.00010050,31.90
100,0.049146,0.052832,0.889023,0.998792,0.00009894,29.55
101,0.048478,0.051908,0.889886,0.998792,0.00009737,29.75
102,0.048325,0.049256,0.886779,0.998792,0.00009581,29.62
103,0.048764,0.049881,0.889886,0.998964,0.00009425,30.85
104,0.048558,0.053693,0.891094,0.998792,0.00009269,30.84
105,0.049084,0.051848,0.890576,0.998619,0.00009114,31.23
106,0.048244,0.052831,0.890231,0.998964,0.00008958,30.98
107,0.047935,0.050172,0.889541,0.998792,0.00008803,31.16
108,0.047855,0.050832,0.890922,0.998792,0.00008648,31.14
109,0.047395,0.049618,0.890749,0.998964,0.00008493,30.79
110,0.047719,0.048536,0.888333,0.998792,0.00008339,29.43
111,0.047037,0.050570,0.893165,0.998619,0.00008186,30.15
112,0.047091,0.049007,0.895409,0.998619,0.00008032,30.83
113,0.046637,0.049566,0.892302,0.998619,0.00007879,30.80
114,0.047130,0.049775,0.895064,0.998792,0.00007727,30.82
115,0.046862,0.050016,0.893511,0.998619,0.00007576,30.85
116,0.046961,0.049796,0.893511,0.998792,0.00007424,30.83
117,0.046141,0.049620,0.895409,0.998619,0.00007274,30.82
118,0.046935,0.048507,0.890749,0.998964,0.00007124,31.31
119,0.046184,0.048456,0.891439,0.998792,0.00006975,29.90
120,0.045858,0.047543,0.892302,0.998792,0.00006827,29.65
